Region,Month,Year,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21
2/15/2012,2,2012,62.64,62.64,48.72,41.76,69.6,27.84,27.84,34.8,20.88,20.88,34.8,34.8,27.84,13.92,13.92,27.84,20.88,13.92,0,0,6.96
3/15/2012,3,2012,156.24,163.68,141.36,156.24,193.44,119.04,133.92,104.16,81.84,59.52,81.84,74.4,74.4,52.08,52.08,66.96,59.52,52.08,37.2,37.2,44.64
4/15/2012,4,2012,72,64.8,57.6,72,86.4,64.8,72,64.8,57.6,43.2,57.6,57.6,50.4,43.2,50.4,57.6,64.8,64.8,43.2,43.2,43.2
5/15/2012,5,2012,7.44,7.44,0,0,7.44,0,0,0,0,0,7.44,7.44,0,0,0,0,0,0,0,0,0
6/15/2012,6,2012,28.8,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2012,7,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2012,8,2012,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2012,9,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2012,10,2012,44.64,29.76,14.88,22.32,22.32,22.32,22.32,14.88,14.88,7.44,7.44,7.44,7.44,0,0,7.44,7.44,0,0,0,0
11/15/2012,11,2012,165.6,165.6,136.8,136.8,172.8,115.2,115.2,108,93.6,64.8,86.4,79.2,57.6,36,14.4,36,28.8,14.4,0,0,7.2
12/15/2012,12,2012,260.4,260.4,208.32,223.2,282.72,178.56,200.88,156.24,141.36,89.28,126.48,104.16,89.28,59.52,44.64,74.4,66.96,44.64,29.76,29.76,29.76
1/15/2013,1,2013,59.52,37.2,29.76,29.76,44.64,29.76,29.76,37.2,22.32,29.76,37.2,44.64,37.2,14.88,14.88,29.76,29.76,22.32,7.44,7.44,14.88
2/15/2013,2,2013,47.04,26.88,13.44,13.44,26.88,13.44,6.72,13.44,13.44,13.44,26.88,26.88,26.88,13.44,13.44,33.6,33.6,20.16,6.72,6.72,13.44
3/15/2013,3,2013,119.04,89.28,59.52,59.52,89.28,37.2,52.08,44.64,29.76,22.32,37.2,37.2,37.2,14.88,22.32,37.2,37.2,29.76,7.44,7.44,14.88
4/15/2013,4,2013,43.2,36,28.8,28.8,36,21.6,21.6,28.8,21.6,7.2,21.6,21.6,14.4,7.2,0,7.2,7.2,7.2,0,0,0
5/15/2013,5,2013,22.32,7.44,0,7.44,7.44,0,7.44,7.44,0,0,7.44,7.44,7.44,0,0,7.44,7.44,7.44,0,0,0
6/15/2013,6,2013,28.8,21.6,14.4,7.2,14.4,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2013,7,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2013,8,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2013,9,2013,36,21.6,14.4,14.4,14.4,14.4,14.4,7.2,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0
10/15/2013,10,2013,14.88,7.44,0,0,7.44,7.44,0,7.44,7.44,0,7.44,7.44,7.44,0,0,7.44,7.44,0,0,0,0
11/15/2013,11,2013,50.4,36,21.6,28.8,36,36,28.8,36,36,21.6,36,36,28.8,14.4,14.4,28.8,21.6,14.4,7.2,7.2,14.4
12/15/2013,12,2013,37.2,29.76,7.44,22.32,44.64,14.88,22.32,22.32,7.44,7.44,22.32,29.76,22.32,7.44,7.44,22.32,14.88,14.88,0,0,7.44
1/15/2014,1,2014,44.64,22.32,14.88,14.88,37.2,7.44,7.44,22.32,7.44,7.44,22.32,29.76,22.32,7.44,7.44,22.32,22.32,14.88,0,0,7.44
2/15/2014,2,2014,194.88,188.16,161.28,154.56,201.6,120.96,141.12,107.52,100.8,67.2,80.64,80.64,67.2,47.04,40.32,60.48,60.48,40.32,20.16,26.88,33.6
3/15/2014,3,2014,141.36,133.92,89.28,89.28,133.92,59.52,66.96,59.52,44.64,37.2,52.08,59.52,37.2,22.32,14.88,29.76,29.76,22.32,7.44,7.44,14.88
4/15/2014,4,2014,28.8,21.6,14.4,36,28.8,36,43.2,43.2,28.8,14.4,28.8,28.8,21.6,7.2,14.4,21.6,21.6,21.6,7.2,7.2,7.2
5/15/2014,5,2014,14.88,14.88,0,0,14.88,0,0,7.44,0,0,7.44,7.44,0,0,0,7.44,7.44,0,0,0,0
6/15/2014,6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2014,7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2014,8,2014,7.44,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2014,9,2014,64.8,43.2,21.6,14.4,21.6,7.2,7.2,7.2,7.2,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0
10/15/2014,10,2014,59.52,37.2,14.88,14.88,22.32,22.32,14.88,14.88,14.88,7.44,14.88,14.88,14.88,7.44,7.44,14.88,7.44,7.44,14.88,14.88,14.88
11/15/2014,11,2014,93.6,86.4,72,64.8,93.6,57.6,57.6,57.6,57.6,43.2,64.8,50.4,36,21.6,14.4,28.8,21.6,14.4,0,0,7.2
12/15/2014,12,2014,275.28,238.08,215.76,230.64,215.76,238.08,230.64,208.32,200.88,133.92,156.24,141.36,111.6,89.28,59.52,81.84,74.4,66.96,52.08,52.08,59.52
1/15/2015,1,2015,37.2,22.32,14.88,14.88,29.76,7.44,0,7.44,7.44,7.44,14.88,22.32,14.88,7.44,7.44,22.32,22.32,14.88,7.44,7.44,22.32
2/15/2015,2,2015,120.96,100.8,73.92,80.64,100.8,73.92,73.92,73.92,67.2,40.32,67.2,60.48,40.32,20.16,20.16,40.32,40.32,26.88,6.72,6.72,13.44
3/15/2015,3,2015,52.08,37.2,14.88,14.88,37.2,14.88,7.44,14.88,7.44,7.44,22.32,29.76,22.32,7.44,7.44,22.32,14.88,7.44,0,0,7.44
4/15/2015,4,2015,50.4,50.4,36,43.2,57.6,36,43.2,43.2,28.8,14.4,28.8,28.8,21.6,14.4,14.4,28.8,28.8,21.6,0,7.2,7.2
5/15/2015,5,2015,7.44,7.44,0,0,7.44,0,0,7.44,0,7.44,7.44,14.88,14.88,7.44,7.44,14.88,7.44,14.88,7.44,14.88,7.44
6/15/2015,6,2015,7.2,7.2,0,0,7.2,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2015,7,2015,7.44,0,0,0,0,7.44,7.44,7.44,0,0,0,0,0,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44
8/15/2015,8,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2015,9,2015,7.2,7.2,7.2,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,7.2
10/15/2015,10,2015,22.32,14.88,0,7.44,14.88,7.44,7.44,7.44,7.44,7.44,14.88,14.88,14.88,14.88,22.32,22.32,29.76,22.32,7.44,7.44,7.44
11/15/2015,11,2015,72,57.6,43.2,57.6,64.8,57.6,57.6,64.8,57.6,64.8,72,72,57.6,43.2,28.8,43.2,36,21.6,14.4,7.2,14.4
12/15/2015,12,2015,186,141.36,96.72,104.16,156.24,66.96,89.28,81.84,59.52,52.08,74.4,74.4,59.52,44.64,37.2,59.52,59.52,44.64,14.88,14.88,22.32
1/15/2016,1,2016,267.84,238.08,215.76,208.32,245.52,171.12,171.12,163.68,148.8,141.36,156.24,156.24,133.92,111.6,74.4,104.16,96.72,74.4,52.08,52.08,59.52
2/15/2016,2,2016,62.64,41.76,27.84,27.84,41.76,27.84,27.84,27.84,20.88,13.92,27.84,27.84,20.88,6.96,6.96,20.88,20.88,13.92,0,6.96,6.96
3/15/2016,3,2016,245.52,223.2,186,186,245.52,156.24,171.12,141.36,126.48,89.28,119.04,119.04,89.28,52.08,44.64,59.52,59.52,44.64,22.32,14.88,22.32
4/15/2016,4,2016,72,57.6,28.8,36,43.2,36,36,50.4,36,50.4,72,86.4,57.6,28.8,28.8,36,28.8,21.6,14.4,14.4,21.6
5/15/2016,5,2016,22.32,14.88,7.44,7.44,22.32,7.44,14.88,14.88,7.44,7.44,7.44,7.44,7.44,7.44,7.44,14.88,7.44,7.44,7.44,7.44,7.44
6/15/2016,6,2016,43.2,21.6,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2016,7,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2016,8,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2016,9,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2016,10,2016,193.44,163.68,111.6,111.6,141.36,96.72,104.16,96.72,81.84,52.08,74.4,59.52,37.2,22.32,14.88,29.76,22.32,14.88,14.88,7.44,7.44
11/15/2016,11,2016,136.8,108,72,57.6,93.6,43.2,43.2,50.4,36,36,50.4,50.4,50.4,36,28.8,43.2,36,21.6,14.4,14.4,14.4
12/15/2016,12,2016,156.24,148.8,119.04,126.48,171.12,89.28,111.6,96.72,74.4,59.52,81.84,81.84,74.4,59.52,59.52,74.4,74.4,66.96,44.64,59.52,66.96
1/15/2017,1,2017,260.4,260.4,290.16,305.04,334.8,275.28,267.84,238.08,208.32,163.68,193.44,186,163.68,141.36,111.6,133.92,126.48,111.6,89.28,89.28,89.28
2/15/2017,2,2017,215.04,228.48,235.2,235.2,288.96,201.6,215.04,188.16,154.56,107.52,141.12,120.96,107.52,94.08,87.36,94.08,94.08,87.36,73.92,67.2,73.92
3/15/2017,3,2017,133.92,111.6,81.84,89.28,119.04,74.4,81.84,74.4,66.96,44.64,59.52,52.08,44.64,22.32,14.88,37.2,29.76,14.88,0,0,7.44
4/15/2017,4,2017,122.4,108,86.4,108,122.4,86.4,93.6,86.4,64.8,36,64.8,57.6,50.4,36,28.8,57.6,57.6,28.8,7.2,14.4,7.2
5/15/2017,5,2017,7.44,7.44,0,0,7.44,0,0,7.44,0,0,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,0,7.44,0
6/15/2017,6,2017,14.4,7.2,0,7.2,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2017,7,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2017,8,2017,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2017,9,2017,7.2,7.2,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7.2,7.2,7.2
10/15/2017,10,2017,14.88,7.44,7.44,7.44,14.88,14.88,7.44,7.44,7.44,0,7.44,7.44,7.44,0,0,7.44,7.44,0,0,0,0
11/15/2017,11,2017,151.2,144,100.8,100.8,151.2,72,79.2,72,50.4,28.8,50.4,50.4,28.8,7.2,7.2,21.6,21.6,7.2,0,0,7.2
12/15/2017,12,2017,37.2,22.32,7.44,14.88,29.76,7.44,14.88,14.88,7.44,7.44,22.32,22.32,22.32,7.44,7.44,14.88,14.88,7.44,0,0,7.44
1/15/2018,1,2018,141.36,141.36,141.36,148.8,186,133.92,133.92,119.04,111.6,66.96,89.28,74.4,59.52,37.2,37.2,44.64,44.64,44.64,29.76,29.76,37.2
2/15/2018,2,2018,40.32,26.88,20.16,33.6,47.04,26.88,26.88,33.6,26.88,20.16,33.6,33.6,20.16,6.72,6.72,20.16,20.16,13.44,0,0,6.72
3/15/2018,3,2018,111.6,126.48,126.48,156.24,186,126.48,141.36,126.48,96.72,66.96,89.28,89.28,89.28,81.84,74.4,89.28,89.28,74.4,74.4,66.96,74.4
4/15/2018,4,2018,115.2,108,86.4,79.2,108,72,64.8,57.6,50.4,28.8,43.2,43.2,28.8,7.2,7.2,14.4,14.4,7.2,0,0,7.2
5/15/2018,5,2018,22.32,22.32,14.88,14.88,22.32,7.44,14.88,7.44,0,0,7.44,7.44,7.44,0,0,7.44,7.44,7.44,0,0,0
6/15/2018,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2018,7,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2018,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2018,9,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2018,10,2018,22.32,14.88,7.44,14.88,14.88,14.88,7.44,14.88,7.44,7.44,7.44,7.44,7.44,7.44,0,7.44,7.44,7.44,0,0,0
11/15/2018,11,2018,151.2,136.8,108,108,136.8,86.4,100.8,79.2,72,57.6,72,64.8,57.6,36,28.8,50.4,50.4,28.8,14.4,14.4,14.4
12/15/2018,12,2018,133.92,111.6,81.84,81.84,119.04,59.52,74.4,66.96,52.08,44.64,66.96,66.96,52.08,29.76,14.88,29.76,29.76,22.32,14.88,7.44,22.32
