Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46
3/15/2000,2000,3,59.52,74.4,104.16,29.76,59.52,37.2,29.76,37.2,52.08,59.52,66.96,66.96,74.4,104.16,59.52,104.16,96.72,111.6,104.16,52.08,111.6,81.84,44.64,111.6,66.96,111.6,59.52,111.6,119.04,66.96,89.28,89.28,74.4,66.96,44.64,74.4,81.84,81.84,59.52,37.2,37.2,37.2,37.2,29.76,81.84,96.72
4/15/2000,2000,4,43.2,57.6,100.8,57.6,50.4,72,28.8,64.8,64.8,72,79.2,79.2,79.2,93.6,64.8,100.8,108,100.8,100.8,64.8,93.6,86.4,43.2,93.6,72,93.6,57.6,93.6,100.8,64.8,86.4,79.2,79.2,64.8,28.8,64.8,79.2,79.2,50.4,64.8,72,72,72,57.6,115.2,122.4
5/15/2000,2000,5,14.88,22.32,37.2,29.76,14.88,44.64,14.88,44.64,66.96,81.84,96.72,89.28,96.72,37.2,29.76,37.2,37.2,44.64,37.2,37.2,44.64,44.64,14.88,44.64,44.64,44.64,44.64,44.64,44.64,52.08,74.4,59.52,89.28,44.64,0,37.2,37.2,37.2,14.88,37.2,37.2,37.2,37.2,29.76,29.76,29.76
6/15/2000,2000,6,7.2,7.2,21.6,7.2,7.2,21.6,0,14.4,14.4,7.2,14.4,14.4,14.4,21.6,14.4,21.6,21.6,21.6,21.6,14.4,21.6,21.6,14.4,21.6,21.6,21.6,14.4,21.6,14.4,14.4,14.4,14.4,14.4,14.4,0,7.2,14.4,14.4,14.4,21.6,21.6,14.4,14.4,14.4,7.2,21.6
7/15/2000,2000,7,0,0,7.44,0,0,0,0,0,0,0,0,0,0,7.44,14.88,7.44,7.44,7.44,7.44,0,7.44,0,0,7.44,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,7.44
8/15/2000,2000,8,7.44,7.44,0,0,0,7.44,0,7.44,7.44,0,0,0,0,0,0,7.44,0,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,7.44,0,7.44,0,0,0,0,7.44,7.44
9/15/2000,2000,9,7.2,7.2,50.4,7.2,7.2,14.4,0,14.4,21.6,28.8,36,28.8,36,43.2,36,57.6,43.2,57.6,57.6,7.2,50.4,21.6,7.2,43.2,14.4,50.4,7.2,36,21.6,21.6,28.8,21.6,28.8,7.2,0,7.2,7.2,7.2,7.2,14.4,14.4,14.4,14.4,7.2,14.4,43.2
10/15/2000,2000,10,44.64,59.52,126.48,89.28,52.08,96.72,81.84,81.84,96.72,126.48,126.48,126.48,126.48,119.04,74.4,126.48,111.6,133.92,126.48,59.52,126.48,96.72,66.96,126.48,81.84,133.92,74.4,126.48,119.04,96.72,126.48,111.6,126.48,81.84,14.88,81.84,74.4,74.4,59.52,81.84,96.72,104.16,104.16,89.28,81.84,104.16
11/15/2000,2000,11,14.4,14.4,57.6,14.4,7.2,21.6,14.4,28.8,50.4,50.4,72,64.8,72,57.6,36,64.8,50.4,72,57.6,14.4,64.8,50.4,7.2,64.8,43.2,72,43.2,64.8,64.8,57.6,79.2,64.8,79.2,43.2,7.2,43.2,21.6,21.6,14.4,21.6,21.6,21.6,21.6,14.4,57.6,50.4
12/15/2000,2000,12,37.2,37.2,66.96,7.44,22.32,14.88,7.44,22.32,44.64,52.08,66.96,66.96,74.4,66.96,37.2,74.4,74.4,74.4,66.96,22.32,66.96,59.52,7.44,66.96,44.64,74.4,37.2,66.96,66.96,52.08,81.84,66.96,81.84,44.64,14.88,44.64,44.64,44.64,22.32,14.88,14.88,14.88,14.88,7.44,81.84,74.4
