Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21
11/15/2003,2003,11,158.4,129.6,93.6,72,100.8,43.2,50.4,50.4,43.2,28.8,43.2,28.8,21.6,7.2,14.4,21.6,21.6,14.4,14.4,14.4,14.4
12/15/2003,2003,12,342.24,319.92,282.72,223.2,327.36,156.24,156.24,156.24,126.48,111.6,141.36,133.92,111.6,66.96,59.52,104.16,89.28,66.96,37.2,44.64,44.64
1/15/2004,2004,1,126.48,119.04,96.72,96.72,141.36,66.96,74.4,59.52,59.52,44.64,52.08,44.64,37.2,22.32,22.32,37.2,37.2,29.76,14.88,14.88,14.88
2/15/2004,2004,2,341.04,285.36,222.72,201.84,278.4,153.12,160.08,139.2,125.28,104.4,118.32,111.36,97.44,83.52,69.6,90.48,83.52,69.6,48.72,48.72,69.6
3/15/2004,2004,3,44.64,44.64,37.2,29.76,44.64,14.88,22.32,22.32,14.88,14.88,22.32,22.32,14.88,0,7.44,22.32,22.32,14.88,0,7.44,7.44
4/15/2004,2004,4,50.4,28.8,14.4,14.4,21.6,7.2,7.2,7.2,7.2,0,0,0,0,0,0,7.2,7.2,0,0,0,0
5/15/2004,2004,5,22.32,22.32,7.44,7.44,14.88,0,7.44,7.44,0,0,7.44,7.44,7.44,0,0,7.44,0,0,0,0,0
6/15/2004,2004,6,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2004,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2004,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2004,2004,9,0,0,0,0,0,7.2,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2004,2004,10,126.48,126.48,104.16,104.16,148.8,74.4,89.28,96.72,74.4,81.84,104.16,111.6,104.16,74.4,59.52,89.28,81.84,59.52,44.64,37.2,52.08
11/15/2004,2004,11,64.8,64.8,64.8,64.8,50.4,64.8,72,64.8,57.6,28.8,43.2,43.2,28.8,14.4,14.4,21.6,21.6,14.4,7.2,7.2,7.2
12/15/2004,2004,12,282.72,252.96,223.2,178.56,245.52,133.92,126.48,126.48,111.6,111.6,126.48,119.04,111.6,96.72,66.96,89.28,74.4,59.52,52.08,37.2,66.96
